,dtypes
tweet_id,int64
in_reply_to_status_id,float64
in_reply_to_user_id,float64
timestamp,datetime64[ns]
source,object
text,object
retweeted_status_id,int64
retweeted_status_user_id,int64
retweeted_status_timestamp,object
expanded_urls,object
jpg_url,object
img_num,int64
p1,object
p1_conf,float64
p1_dog,bool
p2,object
p2_conf,float64
p2_dog,bool
p3,object
p3_conf,float64
p3_dog,bool
retweet_count,float64
favorite_count,float64
favorited,object
retweeted,object
rating,float64
Dogtionary,category
